textID,selected_text
1fbb8663c5,Good 
c64234ad2c,Happy
2630d1e57b, we miss you
791899e5b8,look how   choke on this **** talks to me
7f420c3c39, i wanna
a6f4e1c77e,i wanna move back to Pennsylvan
2931511253,Getting ready for a long weekend of work..friday Saturday and Sun
18195deb58,till don`t l
75849c85c5,Official whine-tweet for today. Nothing specified
64866d1344,awwwh - i`m sorry  i hope you fell better - watch a film 
dd01108dba,....... i`m wondering if you`re as awake as i am. ?
b86ec1b004,im finally going home but didnt get to finish all my work  so ill be back tomorr
8bc1efe6b3,"here`s a 1,000 you`s... there`s only 1 of me..."
50e7258698,skyping with katie  & Allison yeah boy katies mom mooned us
d5ebd5f984,You win ... SIGH Rakeem
ffbb7e2550,I would watch if I was at home
3ca79f00a1,"OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies"
21c4406bdb,s disapp
d60dc677bc,..an ol
0e094f77c9,lling 
9849f2c929, love
eee8feb6d5,"ell, at least it`s not as bad as I thought. Found a new website to watch movies on and I gotta say.......it`s not bad, not bad"
f2d87d6e12,"No more tickets for today.  Having dinner with Mimcy after work, then we head home. Then again, she might get a call"
e0344c471a,"uaaaaa, i cant sleep  buzz me "
85d421f476,"ooh i know it, i can hold your han"
0bf0e16979,Sitting here with my baby .. Libby has a fever 101.0  shes fu
1692886504,ou Wish that would have been your tweet after you followed me.
50abea1a42,"strangely enough, yes.  but then it works for me, may not for everyon"
eb92578d33,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad
10d95a8b81,arre seriously! They shud take his sperm nd clone him into 23 yr old single guys
af3cb04ffc,who has a day long text conversation? me
ada3d89b8d,Great 
a7d4758b6b,"just nothing perfect in life, darn i"
6c86c96dbe,I`m mis
47d014b2d8,"h, ew. That`s too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my l"
4486f18f71,a
4846401e14,"at the house home alone   , playing guitar some guitar hero"
7dfb8ee831,I don`t wanna go back to work   sleepy t
367029df78,jus 
229ea68c3c,I dont get how to use twitterr!
461d51d64e,I guess  cant request  the same song tho
ff2ddcad4e,ok gotta get my sub before everyone wakes up
05eaeab744,Thanks
c021952637,kes us aweso
c3d279cda8,in and sleep is needed!
f4400db16c,"Do you know if you text to 40404, it`ll go to your twitter after you set it up with the settings.  And FB posts - text to 3266"
d31e88cc5d,today was borin
35e212c895, anytime..  Why ya gonna be up so l
fa67ea8b66,Morning! Bank Holiday Monday and the sun has gone - typical! Hospital for knee at 2:30 and then training at 6. Another  bust da
80a2dbb179,"you hate her, I lo"
3efc5b9c0f,Going to the Gold Coast for mothers day lun
e1035326b2,Leaving for work
a499c36461, I mi
e6e23084ae,hahahaha yay!
e8c03669ac,It`s too hot!! 
e05cd317f1,just did my bit to stimulate the economy
195fedfb9b,change of plans. won`t be seeing Up today.
d7112bcfb5,Artwork at 3AM. Gotta get this portfolio done for MECA by wednesday. Meeting with milonzzi to review it then.
b883efa1a7,depre
39e274d8ea,happy
d91d188d29,Yeah daw. Awww...  Wear a mask 
cea3ea124a, i have no phone  whatchu doing tonight sucka. 
8f1e16353f,Had lunch at a Japanese sushi restaurant & I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn`t hav
dcc064a42c,didn`t know the statue in the Venetian was a real man and screamed so loud everyone laug
f651d6efda,Goo
99bfba5783,"idan, please"
f661ccf1f0,HRS!  p
e8f3f93649,Cause I`m not hearing from you guys!!
bbf77b13e2,amaz
4641062e9d,Home now!!! LOL but leaving again on monday for flo rida!
42ba6c7e59,Thinking of summer
ce7faaf9cc,"Oh yea, my pai"
fd725c1a36,Back in a mo. Cover Girls hubby on fb chat. She not seen him for 5 months
70dbe6a192,"sigh* my  USB died on my this afternoon. R.I.P, you will be missed! I hadn`t even had the chance to parade you around yet"
f579b98e1d,So drunk!  Love 
7a09d6405f,"no juice here, I didntb even let him use my computer."
c2ef7fd162,Aww
9ee413df0b,no more arrested development. i am 
f193437a02,Happy
79748c507a, LOVE
d4ec3764be,ut  Humira isn`t right for everyone. Some respond better to Enbrel. Ask your Rheumy. But not much long-term testing done
df8239eba0,armly w
a93e1ffc84,Chillin with the roomies. Can`t wait for the zombie CLWN CR. Its gonna be 6-8 weeks
d4c4ea2da8,Where`s  poss   i mis
55d08dccb3,"_d We might not get Movie Night this week.  Unless it`s like really early in the morning for you, lol."
3df0002826,"Yeah, and that`s where everything becomes difficult and generalisations break down. Not an easy p"
dd370dc872,is listening to Jello Biafra at work.
0e838fc060,Enjoy
8d1413e0fa,Negghead mix on the air!   http://tinyurl.com/ckdwao
39676fd902,"you`re fine - trying to kill off the bots and retweets in a bid to be the least popular person on Twitter. Btw, who are"
8e1583cb08,Absolute
e49ad43635,Goood
8c32aab25f,ayy  
655659de18,HAPPY
5824c43299,Could be useful  13 Tutorials & Resources for a Perfect T
f2d7100757,Geometry is so **** borin
0eccc63901,Sorry
a4a576199d,yay but u have no idea what you look like
f1ffdf3d99,"The sun just came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.-"
a8ebf9a4b4,but he looks so much bett
1cfd961d30,officially has pink eye.
4e5ab3d1f9,"_lou27 i have moved through to edinburgh from glasgow - new flat, no phone line or broadban"
25810b3323,Someone just bought the domain i planned on buying yesterday *
986989bbf5,it too much f
795ee48d4c,Cleaning
32b2610c63,Don`t let the sun catch you crying - Oh my.. so
78e2cd4c7a,OMG!! that is tragic!
f22ef5b614,c! Very pleas
dc55096171,so had a freaki
b5e6083181,. No probl
81876c9769,Hey chick!  When are we going to JA to pick up some hot guys and eat Jerk pork and festival? Well you already have a hot guy
0d663acecc, it if it actually happens.  Me = g
1f1c6455f4,you`re welcome Chi
f19bc91a54,no turkey leg? i can`t believe it
4b7c1a5368, CAN`T
ad3df29d58,h goo
6bbd598f2b,On the way to see my grandpa
313c1f1595,Apparently its Star Wars Day today - so May the 4th be with you  http://tinyurl.com/a
436ac24bc4,and that prob wont happen.
eaf61e92a4,"`ve been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad."
bdb3d43938,Its not looking too 
a06f54b935," oh mann das ist super lustig  du armer... macs age 2 months, battery charging NO. garantiefall..."
ff284ea0ba,"Hey gio, you are beautiful! I am Brazilian and I love you hahahaha! Please answer me"
4a69be0209,WORST D
f4386df020,I wish
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!
bf892b8d0f,Having a long island ice tea
9b0d10c5b9,i am glad 
c42c567e54, Ahhh
ff8d86d5b8,HAHAHAHAHAHAHAHAHAHAHAHA
5a62afb497,ug in **** co
4691fdfad6,May the 4th be with you all
4015d59826,we want ot protect Moleskineï¿½ notebooks worldwide. That is al
7fca98d2a2,I know its a Block Party but would lov
aa75b05d84,"ool,"
73aa4cbfbd,"I had a joke for you, but it`s too long to tweet."
d0bf2cb10f,aww lovel
688deaaa06,they fr
2046d0d2a0,d about being overwhe
295b313e7e,ry  I ha
c660632bdd,"_warwounds_C I feel ya pain, I`ve got myself a nasty cold too. Get better soon"
3c8e8d1940,my son got stung b
09ea93bb2e,Has an hour left of revision
4bc50ce45c,"is watching 'Wall Street', and realizing that since it is on a movie channel she won`t get a potty b"
28174a0691,Happ
9df4f46e38,cheers
1fc4902f30,Skipping school like all the cool kids do
97e86cfd26,that`s sa
d6c1dadb4b,"_Peabody I`m pretty sure we got sent home a couple of times too. `tis the week to remember Mary, Anto`s granny'the love is all "
130c2fd973, me too! i don`t know why every time i listen to it i start to cry
03472cc30b,  Leave a kid on internet and the kid will do stupid thi
bd19a4260b,inda meant mother. Im giving props to  for taking us
fc5e7545d8,argh!
5e31b09d12, hope i can find a store to take us
acb83ea44e,My back is killing m
859ad24097,I should be paying my bills and not playing on here.
2902a9d405,Is not looking forward to the LSAT
9f292fb9b4," I live in germany, it costs a lot too!  I wish you could follow me anyway"
81e46386e6, Goo
662510c8de,Off to prom. Say hi to me
de3c4f3168,I aint blanco either..Yo 100% Puerto Rican mami....yo show muy amor yi tu...but yo no se...
652799445c,"arn, I had one and it slipped right through my fi"
0fccbe0299,Sitting in an empty yearbook room.  attempting to figure this asap out
e74e47df4c, i mis
95f51baf42,morning T! I love their breakfast! If I wasn`t stuck at the shop right now getting maintenance done to the 
798a6382f1,i`m awake while others sleep
4af0794655,"I meant you are not lazy,"
07c80428cd,Indeed. Tha
983e547b2e,can you send ringtones to iPhones?! Idk how to regular ringtones for it
21576ae8e7,We`re home now
a97db072ed,Gonna celebrate 
dd2baf580f,I realized last night that I have no idea where my PnS went to during the move... I hope it`s not lost and gone forever
312aaf4a64,there are # days of summervac & school comes along just 2 end it & the annual problem of r generation is finding a good way 2 s
cbfcecbcbb,un 
2ebb6270b5,Yucky
c94a85a39d,   Delays/cancellations really bite. Have had my fair share and can sympathize. Hang tou
d85d4f4fa8,never noticed that before but you`re right! guess that`s because my heart is always dreaming of travel...
b8eb46f4c4,ill buy you one
6d650f955c,"- wow, fancy"
deac72e865,Having fun  
ff2788e53e, they ARE!!
d303e92e0a,aww 
913118289b,than
faee0d91de,g pr
de996fc663,love 
bd77c9d757,emely slow 
511380d6bb,Wrong!]  thanx  your THE a
0f35590851,"Why am I still away at 4am? Cos I don`t have school tomorrow, that`s why."
b42990837b,oh no  this week is just a bad one for everyone. i love you & your pretty face & youre going to do fantastic in concert tonigh
4f1aab3432,i forgot how much i really needed music until i barely had any for about a week. but i have music now. yay!
dcbd1f7b3c,oh when will #gfail en
67d06a8dee, haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ than
635307576e, *cough* star trek *cough*
149c071f4c,cant **** wait mate!!! it is goin to fanta
4760ad4246,I miss
b0f997ea82,no I was too slow  I hate
ac65050fe7,? THANK 
db2966df81, having a F**Kin` g
6974f1f38b,grea
93acc90d13,says karma strikes 
77912f2801,"ugh my head, when will all the headaches stop. anyways, i love my life right now, i couldn`t ask for anything more. i love bein"
212ca1a172,I love
94dcf0ec77,Today is check in day for week 12 of the Artist`s Way! Hurray time to celebrate another good completed journ
13fa373a34,d rocks my socks
3e86e8f21e,
924cbe3d0d,I`ve misse
30ea165391,great tha
a194ecc368,worth it
3dfc4c8810,ood
5c6398a848,I dont li
c899c9553f,"   Is it me (my machine)? or... Vids freeze up, halt whole blip stream  ? http://blip.fm"
4228d4bbce,he was great for espre
b568eb06b4,wishes people wouldn`t be so stubborn somet
56d703d23e,i saw my credit-card statement. maybe i should receive the unholy Aiden fan package!
b2ace0d52f,sitting in school  sucks to be me
67684df6dd,com We hope everybody is having a safe & fun weekend
2c8f270415,cant believe ER is all over
485e0a802f,bored
e3a57af7fc,ay the forth be with you
746dfd5f5d,m good t
9db3cb33a2,_1 yeah we only went for 5 days  im trying to get back in november with my mom for super soak stars weekend
77c0dc0317,"Been there, done that!!  "
7b2d60b7b2,Ugh. Going to skool
1d201cb974,8 of my 11 followers are random spammers
9176a2882d, do hope
42f367b29d,Grizzly Bear Concert tonight!!!!! Can`t wait. W
0afa909dee,I cannot  I have a full day of activities
cec3d89140,Driving fast is SO much fun. I went 80 in a 25. Hahaha. Goodnigh
d46c824953,nfortuna
81a83e8d9a,why am i up so earl
63a63b6cf5,that suc
629b112918,anticipating a tough day ahead
9235706e1e,Thank
128f3ad087,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not"
ddc208fbff,ing. c
a5b8aeef61,working on homework!!
31114fcf87,lol. u got AC right? u know it`s getting chill here again...  n its gona rain
ff2721a3b4,s? I can`t hear any th
e70cd5baab,I feel you I have a third eye right now and right before I go see foreign bo
608497a8e5,thank 
ae9bb8cf6b,"New crisis, my bag is too eavy for my DoE"
b28ae54c5c, the washer se chingo  ha  ha!! I`m busting my grandma lucia waaaaay back in the early 90`s l
cf637549f3, dead. 
8a9bc6092f,6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful we
88ea1068e3, remember the guy who 1st #tweetbud you! ~> _2890  help him get 900 flwrs & make him smile!
bf1fa3ebab,"mostly just going to work and then update my twilight blog  basically, that`s my life. Is it sleeptime for you"
dd94cd3a26,ahhh
3a41ca5f8e,_benzo the first step to recory is admitting it.
9afdbae4f5, Maaan if I was in pa
1a598bd4d2,right!!' haha
2cfd3fb19d,just something different than all the text around it.  There`s no differen
724eb69f24, I`ve had to do laundry for the last two days
31323a99d0,Oooh 
1dc10375b2,Cant believe there had been nice weat
56a82e0dea,Heading home. Could really have done without banging my head on the way into the
ca7529399b,"My parents withdrew permission at the last moment, I am not going along with tomorrow`s SAC trip to IDP camps  #Pakistan #ID"
7d2e044a0e, that`s the worst dr
98e022a28f, fail.
a0fc51cb4d, I can`t sta
d4e97f831b,"im getting really spotty and my spots ALWAYS scar... and NO its not because i pick them, even if i dont,they scar- FACT  my ski"
c30ccd5c4f,Just finished lunch...Subway Eat Fresh.......now gotta go back to wor
ece42636bb,rofl!
9602e15060,oo po
b2bb12a4fe,wow!  Ni
b061fb5237,Battery is going to d
887ad215a3,my stomach feels like it`s touching the ground..i`m SO 
f8b3cc4523, i wasn`t able to go the conference.so I didn`t get the outline.. however I have been doing my own & it`s coming a
3471ee354e,ACK! Fast forward right through that Coldplay so
c1710c8d4a,happ
643be70c16,"just watched terminator 2 and i cried, Its the one movie that makes me cry for some reason when arnie dies!  im lam"
bb8ed3dcfb, always want to be perfect. Thatï¿½s so hard cause I even know that itï¿½s impossible.
955692815d,only 2 more days of minn
adb7ab12f3, stop itt
ad3c4edeaf, Trying to fix my background
39811168a4,Just came back from school.... Packing for my dad`s house
b565d92d2c,OMG.  I`m so sorr
b24b1e2373,Trying to save money for an iPod touc
1672ec347b,sourish limbs is preventing me from gg out on a friday. not happy. i haven`t been on at 12am for a v long time...even more so o
eedb7abe3c,IDIOTat)MilanQ Heyy. Th*nks For The Follow.  Have A Good Night. (Frank_Whyte) #IDIO
97f06f09e9,ek!   NOT GO
a9c0129d5f,"holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold"
21afcda908,iss someo
2616d11a17,"_indian hehe very true  but you`ve got the color advantage, which the complete americans ha"
3e9e3f0d69,joy.
944c44e2e1,oh kimmy really?  I give you one week from when you get home to hangout with me. I better get to see you. 
ff452af11f," Separate desks, computers, and sides of the room with short dividers...but, we`re thinking we need them to extend to the ceili"
e8bdeeed1d, neeeeeeeed music suggestions but no one will give the
d116927538,@ gadgetopia need to DM you but you`re not following me.   Will send email.
1b6676addf," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave."
5abded0676,Thanks.
7b10fe51a5,why is it so hard to find 
56b20497b7,"Awake still O_o, breeding for perfect or close to perfect IVs on a pikachu  don`t know what that means? Google it or wait for m"
835027a4f7,"Wow, "
c7fde29c4c,ate
751762b290,Doing okay. How are you doin
add2ff34a9,"Wow, you`re car`s awesome! "
c3e2f1111f,a chilled day  party tomorrow.
c099a82f08,Deucie picked up by his sitter for the weekend.
efeaa7155e,"_Marls Nah I got bare work to do, 3 weeks left and I`m bare behin"
324dc23455,already c
10632a4b88,****. 
257681f691,Sittting in my seat watching the tyra show
4c2e5f9b2c,  Hi Bruce  I am trying to eat healthy!  It`s kinda scary when I read 'Eat this Not that'  maggots and rat hair in our food
4591bce14e, think you should catch up on your sleep befor you go back to uni haha  good
d075640401,Not goo
e05cbce34f,Sorr
78eb64511e,Ugh.
6e34e9c28a,http://twitpic.com/4w8kr - meet Bella the new member of the family!!
6eeb25bff2,I think that`s what`s wrong wi
bff4484ba3,"Working on the store`s Facebook group, getting ready to relax and play some 360. I`m thinking Mercenaries 2 tonight; Me likey e"
c219d0df6a,is jealous of his family  their all having an amazing breakfast and all i get is rice crispies
89fe24a49a,Today celebrating two new people becoming australian citizens. I am hoping for a good 
c49071c955,"you are right, enjoy t"
fb29b092d3,Saturday Night Live in 3 minutes  Jimmy should still be on it.
67d08add4f,_Union don`t let anyone run you away from anything
0ff4bc3866,hello beautiful. how`s mariahs baby? jackie still isn`t talkin to me. i called her n left her a message the other day.
ffc88ead32,First sports banquet without katie
1b1bb60772,"they are, aren`t the"
074d3c7768,Watchin Hannah Montana  Hoedown Throwd
2d126f6c4f, hello that`s an important date!
8c37fb6d50,"Morning everyone! Going to a gig now, then a run. Update you all later"
55edf2afd9," I want to get all dressed up and go out to, but I to have no one to go with, I`m with you mentor"
ba7149719f,big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z
570fbfc87a,"going to shibuya, meet my mom, get my contact lenses, then shinjuku"
540537686f,el lost
8e13f7c528,I`d love to
a5cc484f84,had SUCH and AMA
ba44dc6a52,Searching for wavy hairstyle
88a1a58eeb,I have to go to work with out my  and 
3e3377d366,Man! I can`t stop being freakin` hungry!
22e968402f,yessir that is 100% right
8cab18917e," don`t dig emo **** or that, but I like "
872173e15e,ww  you are too ki
0e47e9bdf3,Goodbye **** in the city  let me hurry and give mi cuz that paper work  !!! Have 2 have summer in BK !
4e4dd166c0,off to bed was gonna read some new moon but its a little late now  night night all 
d70b5e71dd, this traffic is ridi
3f3f46a958,d to cope with on my android phone when I`m unable to filter
f5bafd107f,ay?  
6fc523d6a3," what a smashing show tonight! Love the Killers! Wish I had been there, gutted... Such a shame they got cut off mid-song at the"
e224579ed0,nope i cant figure out how to get the updates on my blackberry. . . i need to go running
c9b44d16d2," Not addicted, just sociable."
13452e8985,Just finished my 1st new song !!!  Soon on Youtube !  Keeping you u
adc2bd4e63,family comes. probably won`t be on this weekend
00c007188e,thats not really 
5942352255,at was hard 
1be7769340,my arms hurt!
a15a5d5645,My lower-left molar stings whenever it comes into contact with sugar of any 
03e81718e0,another letter for you - this one car insurance - ouc
7fb24b4a56, wow.. purple leopard skin.  fieeerrc
e852549bd4,yeah except the spurs aren`t in the champs like they usually are.
0257d899c7,I know!!!! He didn`t ask me
e0cd486f0f, - I always apprec
1e0cf9b37e,Im not friends with anyone anymore
a6c5ca1cc5,d be gre
dec8fd9fe3, KnO
3fdf6fd85b,"Yeh I suppose, but its not the same you know? To me Henry isn`t really a gunner any more"
1c616859e0,You are too kind!
720bae5df7,urite f
1b65a5216d,haha i will remember that  **
2cadd2e721,"Har Har, #swineflu is everywhere: http://twitpic.com/4jb4o  "
c0f700f106,hank 
8c77973d8b,I couldn`t find any extendable on
d0e35a96f4,Happy
df464ec6cf,"The sun is attempting to increase her efforts. Alas the same cannot be said for me. I see a bath, a couch & a book in my immedi"
584f32f710,"When I start cloggin up my own Twitter feed, it`s time for me to go to bed.. Nighty night. Be sure to go to the TweetUp and mee"
b1c50991ba,lly bad now.... sor
79077139d8, Ohhhhh how I mi
b47dd76578,feels guility . so
26043f0e70,pleasur
cf94d6bb60, _defcon1 I gather you guys continued the drinking after I 
